Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
ISP,610520,LaSalle II Magnet Elementary School,  590 ,  29 ,4.9%,  74 ,12.5%,  207 ,35.1%
ISP,610024,Lazaro Cardenas Elementary School,  555 ,  260 ,46.9%,  73 ,13.2%,  438 ,78.9%
ISP,610298,Lenart Elementary Regional Gifted Center,  284 ,  1 ,0.4%,  11 ,3.9%,  85 ,29.9%
ISP,609738,Lincoln Park High School,"  2,101 ",  56 ,2.7%,  170 ,8.1%,"  1,141 ",54.3%
ISP,609834,Little Village Elementary School,  786 ,  396 ,50.4%,  85 ,10.8%,  704 ,89.6%
ISP,609773,Louis A Agassiz Elementary School,  464 ,  23 ,5.0%,  76 ,16.4%,  182 ,39.2%
ISP,610117,Louis Pasteur Elementary School,  708 ,  256 ,36.2%,  66 ,9.3%,  568 ,80.2%
ISP,610197,Mancel Talcott Elementary School,  500 ,  198 ,39.6%,  82 ,16.4%,  381 ,76.2%
ISP,610544,Mariano Azuela Elementary School,  886 ,  277 ,31.3%,  81 ,9.1%,  732 ,82.6%
ISP,609780,Marine Leadership Academy at Ames,  864 ,  145 ,16.8%,  68 ,7.9%,  831 ,96.2%
ISP,610177,Mark Skinner Elementary School,"  1,094 ",  56 ,5.1%,  60 ,5.5%,  255 ,23.3%
ISP,610312,Mary E McDowell Elementary School,  154 ,  1 ,0.7%,  12 ,7.8%,  126 ,81.8%
ISP,610082,Mount Greenwood Elementary School,"  1,125 ",  9 ,0.8%,  117 ,10.4%,  158 ,14.0%
ISP,609692,Neal F Simeon Career Academy High School,"  1,336 ",  1 ,0.1%,  133 ,10.0%,"  1,229 ",92.0%
ISP,610201,Ole A Thorp Elementary Scholastic Academy,  849 ,  81 ,9.5%,  106 ,12.5%,  406 ,47.8%
ISP,610386,Peace & Education Coalition HS,  103 ,  12 ,11.7%,  18 ,17.5%,  99 ,96.1%
ISP,609842,Rachel Carson Elementary School,"  1,094 ",  642 ,58.7%,  82 ,7.5%,  938 ,85.7%
ISP,609903,Richard Edwards Elementary School,"  1,544 ",  684 ,44.3%,  170 ,11.0%,"  1,254 ",81.2%
ISP,610291,Richard Henry Lee Elementary School,  862 ,  209 ,24.3%,  117 ,13.6%,  756 ,87.7%
ISP,609695,Roald Amundsen High School,"  1,226 ",  116 ,9.5%,  167 ,13.6%,  999 ,81.5%
ISP,609826,Rosario Castellanos Elementary School,  601 ,  168 ,28.0%,  102 ,17.0%,  584 ,97.2%
ISP,609990,South Loop Elementary School,  780 ,  63 ,8.1%,  48 ,6.2%,  244 ,31.3%
ISP,609745,Southside Occupational Academy High School,  269 ,  49 ,18.2%,  269 ,100.0%,  245 ,91.1%
ISP,610249,Talman Elementary School,  435 ,  170 ,39.1%,  78 ,17.9%,  353 ,81.2%
ISP,610504,Velma F Thomas Early Childhood Center,  163 ,  83 ,50.9%,  58 ,35.6%,  65 ,39.9%
ISP,609944,Virgil Grissom Elementary School,  353 ,  75 ,21.3%,  46 ,13.0%,  206 ,58.4%
ISP,610363,Walt Disney Magnet Elementary School,"  1,564 ",  192 ,12.3%,  132 ,8.4%,  896 ,57.3%
ISP,610587,Walter Henri Dyett High School for the Arts,  328 ,,,  42 ,12.8%,  287 ,87.5%
ISP,609680,Walter Payton College Preparatory High School,"  1,072 ",  7 ,0.7%,  46 ,4.3%,  346 ,32.3%
ISP,610179,Washington D Smyser Elementary School,  945 ,  212 ,22.4%,  86 ,9.1%,  663 ,70.2%
ISP,609755,Whitney M Young Magnet High School,"  2,158 ",  40 ,1.9%,  142 ,6.6%,  893 ,41.4%
ISP,609678,William Jones College Preparatory High School,"  1,865 ",  22 ,1.2%,  120 ,6.4%,  731 ,39.2%
Charter,400009,Academy for Global Citizenship Charter School,  469 ,  168 ,35.8%,  47 ,10.0%,  316 ,67.4%
Charter,400010,ACE Technical Charter School,  316 ,  22 ,7.0%,  68 ,21.5%,  304 ,96.2%
Charter,400081,Acero Charter Schools - Bartolomé de las Casas,  278 ,  126 ,45.3%,  34 ,12.2%,  255 ,91.7%
Charter,400153,Acero Charter Schools - Brighton Park,  564 ,  317 ,56.2%,  70 ,12.4%,  526 ,93.3%
Charter,400082,Acero Charter Schools - Carlos Fuentes,  549 ,  225 ,41.0%,  72 ,13.1%,  484 ,88.2%
Charter,400114,Acero Charter Schools - Esmeralda Santiago,  283 ,  132 ,46.6%,  53 ,18.7%,  252 ,89.1%
Charter,400112,Acero Charter Schools - Jovita Idar,  569 ,  257 ,45.2%,  39 ,6.9%,  516 ,90.7%
Charter,400085,Acero Charter Schools - Major Hector P. Garcia MD,  598 ,  130 ,21.7%,  84 ,14.1%,  561 ,93.8%
Charter,400083,Acero Charter Schools - Octavio Paz Campus,  368 ,  185 ,50.3%,  43 ,11.7%,  344 ,93.5%
Charter,400089,Acero Charter Schools - Officer Donald J. Marquez,  570 ,  334 ,58.6%,  61 ,10.7%,  520 ,91.2%
Charter,400080,Acero Charter Schools - PFC Omar E. Torres,  579 ,  274 ,47.3%,  47 ,8.1%,  492 ,85.0%
Charter,400120,Acero Charter Schools - Roberto Clemente,  544 ,  247 ,45.4%,  55 ,10.1%,  486 ,89.3%
Charter,400084,Acero Charter Schools - Rufino Tamayo,  287 ,  174 ,60.6%,  43 ,15.0%,  257 ,89.6%
Charter,400101,Acero Charter Schools - Sandra Cisneros,  537 ,  237 ,44.1%,  42 ,7.8%,  485 ,90.3%
Charter,400121,Acero Charter Schools - Sor Juana Inés de la Cruz,  677 ,  272 ,40.2%,  83 ,12.3%,  617 ,91.1%
Charter,400079,Acero Charter Schools - SPC Daniel Zizumbo,  625 ,  231 ,37.0%,  57 ,9.1%,  544 ,87.0%
Charter,400149,Acero Charter Schools - Victoria Soto,  551 ,  156 ,28.3%,  77 ,14.0%,  524 ,95.1%
Charter,400011,Alain Locke Charter School,  499 ,  1 ,0.2%,  43 ,8.6%,  437 ,87.6%
Charter,400060,Asian Human Services - Passages Charter School,  447 ,  172 ,38.5%,  48 ,10.7%,  366 ,81.9%
Charter,400172,ASPIRA Business and Finance,  487 ,  156 ,32.0%,  105 ,21.6%,  466 ,95.7%
Charter,400013,ASPIRA Charter School - Early College High School,  376 ,  109 ,29.0%,  92 ,24.5%,  356 ,94.7%
Charter,400017,ASPIRA Charter School - Haugan Middle School,  420 ,  101 ,24.1%,  59 ,14.1%,  401 ,95.5%
Charter,400115,Catalyst - Maria Charter School,"  1,077 ",  199 ,18.5%,  157 ,14.6%,"  1,005 ",93.3%
Charter,400021,Catalyst Elementary Charter School - Circle Rock,  522 ,,,  56 ,10.7%,  444 ,85.1%
Charter,400161,Chicago Collegiate Charter School,  394 ,,,  67 ,17.0%,  359 ,91.1%
Charter,400035,Chicago Math and Science Academy Charter School,  592 ,  79 ,13.3%,  57 ,9.6%,  536 ,90.5%
Charter,400036,Chicago Virtual Charter School,  696 ,  44 ,6.3%,  106 ,15.2%,  488 ,70.1%
Charter,400159,Christopher House Charter School,  341 ,  130 ,38.1%,  49 ,14.4%,  313 ,91.8%
Charter,400023,CICS - Avalon/South Shore,  479 ,  6 ,1.3%,  53 ,11.1%,  411 ,85.8%
Charter,400024,CICS - Basil,  737 ,  55 ,7.5%,  83 ,11.3%,  648 ,87.9%
Charter,400025,CICS - Bucktown,  705 ,  131 ,18.6%,  86 ,12.2%,  511 ,72.5%
Charter,400113,CICS - ChicagoQuest North,  262 ,  9 ,3.4%,  60 ,22.9%,  247 ,94.3%
Charter,400027,CICS - Irving Park,  555 ,  124 ,22.3%,  81 ,14.6%,  320 ,57.7%
Charter,400092,CICS - Lloyd Bond,  339 ,  1 ,0.3%,  40 ,11.8%,  310 ,91.5%
Charter,400033,CICS - Longwood,"  1,335 ",  6 ,0.5%,  234 ,17.5%,"  1,226 ",91.8%
Charter,400026,CICS - Loomis Primary,  563 ,  1 ,0.2%,  58 ,10.3%,  406 ,72.1%
Charter,400034,CICS - Northtown,  909 ,  136 ,15.0%,  212 ,23.3%,  727 ,80.0%
Charter,400028,CICS - Prairie,  422 ,  98 ,23.2%,  52 ,12.3%,  374 ,88.6%
Charter,400032,CICS - Ralph Ellison,  417 ,,,  78 ,18.7%,  383 ,91.9%
Charter,400029,CICS - Washington Park,  458 ,  1 ,0.2%,  51 ,11.1%,  409 ,89.3%
Charter,400030,CICS - West Belden,  526 ,  229 ,43.5%,  71 ,13.5%,  457 ,86.9%
Charter,400031,CICS - Wrightwood,  766 ,  13 ,1.7%,  76 ,9.9%,  635 ,82.9%
Charter,400094,EPIC Academy Charter High School,  538 ,  67 ,12.5%,  120 ,22.3%,  506 ,94.1%
Charter,400039,Erie Elementary Charter School,  420 ,  154 ,36.7%,  72 ,17.1%,  349 ,83.1%
Charter,400171,Foundations College Preparatory Charter School,  227 ,  2 ,0.9%,  57 ,25.1%,  209 ,92.1%
Charter,400040,Frazier Preparatory Academy Charter School,  361 ,,,  29 ,8.0%,  314 ,87.0%
Charter,400168,Great Lakes Academy Charter School,  297 ,  19 ,6.4%,  17 ,5.7%,  221 ,74.4%
Charter,400167,Horizon Science Academy Southwest Chicago Charter,  719 ,  165 ,23.0%,  89 ,12.4%,  669 ,93.1%
Charter,400104,Instituto Health Sciences Career Academy,  750 ,  185 ,24.7%,  146 ,19.5%,  727 ,96.9%
Charter,400162,Intrinsic Charter School,"  1,012 ",  127 ,12.6%,  178 ,17.6%,  859 ,84.9%
Charter,400146,KIPP Academy Chicago Campus,  346 ,  2 ,0.6%,  54 ,15.6%,  322 ,93.1%
Charter,400044,KIPP Ascend Charter School,  904 ,  10 ,1.1%,  115 ,12.7%,  837 ,92.6%
Charter,400163,KIPP Chicago Charter School - KIPP Bloom,  357 ,  9 ,2.5%,  63 ,17.7%,  332 ,93.0%
Charter,400180,KIPP One Academy,  423 ,  35 ,8.3%,  45 ,10.6%,  361 ,85.3%
Charter,400045,Kwame Nkrumah Academy Charter School,  178 ,,,  25 ,14.0%,  152 ,85.4%
Charter,400047,L.E.A.R.N. - Charles and Dorothy Campbell Campus,  402 ,  8 ,2.0%,  31 ,7.7%,  362 ,90.1%
Charter,400048,L.E.A.R.N. - Excel Campus,  452 ,  6 ,1.3%,  55 ,12.2%,  396 ,87.6%
Charter,400111,L.E.A.R.N. - Hunter Perkins Campus,  503 ,,,  48 ,9.5%,  412 ,81.9%
Charter,400165,L.E.A.R.N. - Middle School Campus,  306 ,  3 ,1.0%,  50 ,16.3%,  288 ,94.1%
Charter,400046,L.E.A.R.N. - Romano Butler Campus,  582 ,  1 ,0.2%,  58 ,10.0%,  523 ,89.9%
Charter,400107,L.E.A.R.N. - South Chicago Campus,  454 ,  28 ,6.2%,  42 ,9.3%,  375 ,82.6%
Charter,400151,L.E.A.R.N. Charter School - 7th Campus,  317 ,,,  36 ,11.4%,  277 ,87.4%
Charter,400049,Legacy Charter School,  468 ,,,  61 ,13.0%,  415 ,88.7%
Charter,400119,Legal Prep Charter Academy,  314 ,,,  72 ,22.9%,  301 ,95.9%
Charter,400178,Moving Everest Charter School,  364 ,,,  40 ,11.0%,  294 ,80.8%
Charter,400050,Namaste Charter School,  489 ,  208 ,42.5%,  85 ,17.4%,  369 ,75.5%
Charter,400157,Noble - Baker College Prep,  363 ,  18 ,5.0%,  89 ,24.5%,  327 ,90.1%
Charter,400156,Noble - Butler College Prep,  647 ,  12 ,1.9%,  127 ,19.6%,  596 ,92.1%
Charter,400097,Noble - Chicago Bulls College Prep,"  1,137 ",  72 ,6.3%,  160 ,14.1%,"  1,001 ",88.0%
Charter,400118,Noble - DRW College Prep,  514 ,  5 ,1.0%,  144 ,28.0%,  486 ,94.6%
Charter,400052,Noble - Gary Comer College Prep,"  1,099 ",  5 ,0.5%,  180 ,16.4%,  953 ,86.7%
Charter,400053,Noble - Golder College Prep,  664 ,  76 ,11.5%,  102 ,15.4%,  598 ,90.1%
Charter,400117,Noble - Hansberry College Prep,  642 ,  8 ,1.3%,  145 ,22.6%,  538 ,83.8%
Charter,400169,Noble - ITW David Speer Academy,"  1,019 ",  127 ,12.5%,  143 ,14.0%,  912 ,89.5%
Charter,400106,Noble - John and Eunice Johnson College Prep,  802 ,  6 ,0.8%,  165 ,20.6%,  767 ,95.6%
Charter,400098,Noble - Muchin College Prep,  959 ,  65 ,6.8%,  109 ,11.4%,  802 ,83.6%
Charter,400051,Noble - Noble College Prep,  651 ,  59 ,9.1%,  80 ,12.3%,  576 ,88.5%
Charter,400054,Noble - Pritzker College Prep,  986 ,  120 ,12.2%,  105 ,10.7%,  930 ,94.3%
Charter,400055,Noble - Rauner College Prep,  632 ,  76 ,12.0%,  87 ,13.8%,  520 ,82.3%
Charter,400056,Noble - Rowe-Clark Math and Science Academy,  468 ,  39 ,8.3%,  118 ,25.2%,  435 ,93.0%
Charter,400170,Noble - The Noble Academy,  499 ,  30 ,6.0%,  73 ,14.6%,  412 ,82.6%
Charter,400057,Noble - UIC College Prep,  935 ,  80 ,8.6%,  137 ,14.7%,  801 ,85.7%
Charter,400179,Noble Mansueto High School,  526 ,  107 ,20.3%,  82 ,15.6%,  480 ,91.3%
Charter,400058,North Lawndale College Prep - Christiana,  358 ,,,  65 ,18.2%,  348 ,97.2%
Charter,400059,North Lawndale College Prep - Collins,  355 ,,,  60 ,16.9%,  344 ,96.9%
Charter,400062,Perspectives - High School of Technology,  334 ,  2 ,0.6%,  64 ,19.2%,  301 ,90.1%
Charter,400061,Perspectives - Leadership Academy,  437 ,,,  76 ,17.4%,  413 ,94.5%
Charter,400066,Perspectives - Math and Science Academy,  461 ,  4 ,0.9%,  95 ,20.6%,  415 ,90.0%
Charter,400064,Perspectives - Rodney D. Joslin,  389 ,  9 ,2.3%,  75 ,19.3%,  335 ,86.1%
Charter,400069,Polaris Charter Academy,  444 ,  3 ,0.7%,  70 ,15.8%,  402 ,90.5%
Charter,400071,Providence Englewood Charter School,  511 ,  8 ,1.6%,  55 ,10.8%,  432 ,84.5%
Charter,400096,Rowe Elementary Charter School,"  1,009 ",  210 ,20.8%,  127 ,12.6%,  826 ,81.9%
Charter,400116,The Montessori School of Englewood Charter,  309 ,  1 ,0.3%,  45 ,14.6%,  257 ,83.2%
Charter,400078,University of Chicago - Carter G. Woodson,  214 ,  3 ,1.4%,  27 ,12.6%,  179 ,83.6%
Charter,400075,University of Chicago - Donoghue,  539 ,  1 ,0.2%,  21 ,3.9%,  423 ,78.5%
Charter,400076,University of Chicago - North Kenwood/Oakland,  356 ,  2 ,0.6%,  21 ,5.9%,  235 ,66.0%
Charter,400077,University of Chicago - Woodlawn,  645 ,  2 ,0.3%,  103 ,16.0%,  541 ,83.9%
Charter,400105,Urban Prep Academy for Young Men - Bronzeville,  315 ,,,  66 ,21.0%,  258 ,81.9%
Charter,400086,Urban Prep Academy for Young Men - Englewood,  263 ,  1 ,0.4%,  66 ,25.1%,  234 ,89.0%
Charter,400102,Urban Prep Charter Academy for Young Men - West,  213 ,,,  58 ,27.2%,  186 ,87.3%
Charter,400087,Young Women's Leadership Charter School,  193 ,,,  60 ,31.1%,  179 ,92.8%
Contract,400022,Chicago High School for the Arts (ChiArts),  619 ,  4 ,0.7%,  37 ,6.0%,  331 ,53.5%
Contract,400091,Chicago Technology Academy High School,  242 ,  3 ,1.2%,  60 ,24.8%,  219 ,90.5%
Contract,400043,Hope Institute Learning Academy,  363 ,  6 ,1.7%,  72 ,19.8%,  305 ,84.0%
Contract,400068,Plato Learning Academy,  389 ,  1 ,0.3%,  38 ,9.8%,  354 ,91.0%
Options,610581,Bridgescape Academy Brainerd,  173 ,,,  35 ,20.2%,  150 ,86.7%
Options,610580,Bridgescape Academy Humboldt Park,  163 ,  20 ,12.3%,  33 ,20.3%,  154 ,94.5%
Options,610567,Bridgescape Academy Roseland,  168 ,,,  37 ,22.0%,  150 ,89.3%
Options,610566,Bridgscape Academy Lawndale,  167 ,  1 ,0.6%,  35 ,21.0%,  157 ,94.0%
Options,400147,Camelot - Chicago Excel Academy,  300 ,  1 ,0.3%,  68 ,22.7%,  274 ,91.3%
Options,610565,Camelot Excel - Englewood HS,  252 ,  2 ,0.8%,  52 ,20.6%,  238 ,94.4%
Options,400175,Camelot Excel - Southshore HS,  150 ,  2 ,1.3%,  32 ,21.3%,  135 ,90.0%
Options,400176,Camelot Excel - Southwest HS,  131 ,  2 ,1.5%,  35 ,26.7%,  126 ,96.2%
Options,610572,Camelot Safe Elementary,  5 ,,,  2 ,40.0%,  5 ,100.0%
Options,610573,Camelot Safe HS,  6 ,,,  1 ,16.7%,  6 ,100.0%
Options,400164,Instituto - Justice Lozano Mastery,  85 ,  28 ,32.9%,  17 ,20.0%,  83 ,97.7%
Options,400137,Little Black Pearl Art and Design Academy,  118 ,,,  27 ,22.9%,  100 ,84.8%
Options,610569,Ombudsman Chicago- Northwest,  235 ,  21 ,8.9%,  45 ,19.2%,  193 ,82.1%
Options,610570,Ombudsman Chicago- South,  495 ,  42 ,8.5%,  80 ,16.2%,  459 ,92.7%
Options,610571,Ombudsman Chicago- West,  367 ,  33 ,9.0%,  63 ,17.2%,  345 ,94.0%
Options,610557,Pathways in Education- Ashburn,  278 ,  30 ,10.8%,  33 ,11.9%,  244 ,87.8%
Options,610568,Pathways in Education- Avondale,  285 ,  39 ,13.7%,  55 ,19.3%,  254 ,89.1%
Options,400173,Pathways in Education- Brighton Park,  343 ,  31 ,9.0%,  38 ,11.1%,  323 ,94.2%
Options,400123,YCCS- Academy of Scholastic Achievement HS,  148 ,,,  33 ,22.3%,  136 ,91.9%
Options,400133,YCCS- Innovations HS of Arts Integration,  414 ,  5 ,1.2%,  87 ,21.0%,  385 ,93.0%
Options,400124,YCCS- McKinley Lakeside Leadership HS,  155 ,  2 ,1.3%,  39 ,25.2%,  150 ,96.8%
Options,400125,"YCCS-ASPIRA,Antonia Pantoja Alternative HS",  183 ,  50 ,27.3%,  38 ,20.8%,  162 ,88.5%
Options,400126,YCCS-Association House HS,  142 ,  14 ,9.9%,  34 ,23.9%,  135 ,95.1%
Options,400127,YCCS-Austin Career Education Center HS,  146 ,,,  22 ,15.1%,  137 ,93.8%
Options,400128,YCCS-CCA Academy HS,  165 ,,,  33 ,20.0%,  156 ,94.6%
Options,400150,YCCS-Chatham AcademyHS,  162 ,,,  26 ,16.1%,  149 ,92.0%
Options,400130,YCCS-Community Youth Development Institute HS,  156 ,,,  30 ,19.2%,  148 ,94.9%
Options,400131,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,  197 ,  22 ,11.2%,  52 ,26.4%,  180 ,91.4%
Options,400134,YCCS-Jane Addams Alternative HS,  210 ,  14 ,6.7%,  33 ,15.7%,  200 ,95.2%
Options,400135,YCCS-Latino Youth Alternative HS,  226 ,  43 ,19.0%,  51 ,22.6%,  213 ,94.3%
Options,400136,YCCS-Olive Harvey Middle College HS,  103 ,  1 ,1.0%,  14 ,13.6%,  88 ,85.4%
Options,400129,YCCS-Progressive Leadership Academy,  155 ,,,  34 ,21.9%,  151 ,97.4%
Options,400139,YCCS-Sullivan House Alternative HS,  330 ,,,  68 ,20.6%,  316 ,95.8%
Options,400141,YCCS-Truman Middle College HS,  217 ,  24 ,11.1%,  26 ,12.0%,  170 ,78.3%
Options,400143,YCCS-West Town Acad Alternative HS,  130 ,  5 ,3.9%,  23 ,17.7%,  125 ,96.2%
Options,400144,YCCS-Westside Holistic Leadership Acad HS,  95 ,  6 ,6.3%,  11 ,11.6%,  89 ,93.7%
Options,400145,YCCS-Youth Connection Leadership Acad HS,  223 ,  2 ,0.9%,  40 ,17.9%,  212 ,95.1%
,,,,,,,,,
"Note: ""Economically Disadvantaged Students"" come from families whose income is within 185 percent of the federal poverty line. The District formerly referred to these students as ""Free or Reduced Lunch Eligible Students,"" and adopted the new term after the federal government, under the Community Eligibility Provision, funded breakfasts and lunches for all students if more than 40 percent of students qualify. ",,,,,,,,,
"Note: ""Bilingual"" refers to the state defintions of students who are English learners.",,,,,,,,,
"Note: The EL data set was updated on October 10, 2020 to align with the State's definition of EL.",,,,,,,,,
